llm_id,temperature,seed,max_completion_tokens,top_p
0UAq,1.0,6634,451,0.84
0UAq,1.0,6634,451,0.84
8w3n,0.5,4617,121,0.78
p48Y,0.5,5081,100,0.77
0UAq,1.0,6634,451,0.84
8w3n,0.5,4617,121,0.78
0UAq,1.0,6634,451,0.84
8w3n,0.5,4617,121,0.78
4zEB,0.4,1334,173,0.78
vJIr,0.3,6522,292,0.91
ZiIa,0.9,9146,408,0.94
EQ5I,0.8,1597,401,0.75
oE9r,0.3,8120,231,0.91
0UAq,1.0,6634,451,0.84
8w3n,0.5,4617,121,0.78
0UAq,1.0,6634,451,0.84
8w3n,0.5,4617,121,0.78
0UAq,1.0,6634,451,0.84
0UAq,1.0,6634,451,0.84
0UAq,1.0,6634,451,0.84
0UAq,1.0,6634,451,0.84
0UAq,1.0,6634,451,0.84
0UAq,1.0,6634,451,0.84
0UAq,1.0,6634,451,0.84
0UAq,1.0,6634,451,0.84
0UAq,1.0,6634,451,0.84
0UAq,1.0,6634,451,0.84
0UAq,1.0,6634,451,0.84
0UAq,1.0,6634,451,0.84
3nii,0.4,4104,322,0.94
ge0u,0.4,5796,272,0.85
PaE1,0.6,5328,410,0.77
29Es,0.7,2044,330,0.85
0UAq,1.0,6634,451,0.84
0UAq,1.0,6634,451,0.84
0UAq,1.0,6634,451,0.84
0UAq,1.0,6634,451,0.84
niif,0.7,8725,411,0.94
e0uI,0.8,7113,211,0.94
0UAq,1.0,6634,451,0.84
0UAq,1.0,6634,451,0.84
8w3n,0.5,4617,121,0.78
p48Y,0.5,5081,100,0.77
0uIv,0.8,3350,332,0.9
BGd4,0.3,1528,418,0.87
SWML,0.8,3996,423,0.85
1lJo,0.5,8896,279,0.77
0UAq,1.0,6634,451,0.84
w3ni,0.5,1553,366,0.83
AdW1,0.6,741,468,0.93
N6Le,0.4,3088,360,0.93
hfZh,0.3,3188,144,0.78
DTdQ,0.9,1662,477,0.83
eesB,0.3,8251,289,0.76
g9mw,1.0,9335,136,0.81
0UAq,1.0,6634,451,0.84
K4Fr,0.4,4104,322,0.94
0UAq,1.0,6634,451,0.84
0UAq,1.0,6634,451,0.84
0UAq,1.0,6634,451,0.84
4FrU,0.7,8725,411,0.94
3tT3,0.8,7735,336,0.78
yRrY,0.6,9663,472,0.88
RkdR,1.0,8643,299,0.92
6Xtp,0.5,4768,240,0.88
cibe,0.4,2163,265,0.84
6dzz,0.8,7230,154,0.86
T4rB,0.5,2573,113,0.78
FYR7,0.5,7217,83,0.88
2VLf,0.3,8069,55,0.83
SwZe,0.3,7220,231,0.94
3UPI,1.0,6753,142,0.75
ac5J,0.5,2509,394,0.87
hwSD,0.5,5800,268,0.88
zK9I,1.0,2146,99,0.75
NYOR,0.7,4192,288,0.76
rRVx,0.8,3526,286,0.93
J7F4,0.6,5759,494,0.94
tSRL,0.3,6947,435,0.95
tT9Q,1.0,2286,259,0.92
Dm1F,0.7,4026,71,0.82
kxvk,0.9,3105,382,0.82
0UAq,1.0,6634,451,0.84
0UAq,1.0,6634,451,0.84
0UAq,1.0,6634,451,0.84
0UAq,1.0,6634,451,0.84
0UAq,1.0,6634,451,0.84
4FrU,0.7,8725,411,0.94
